Ni,Ti,Cu,Hf,Zr,Pd,Co,Actual Ms (C),Actual Hysteresis (C),Actual Enthalpy (J/g),actual_transformation_strain,Predicted Ms (C),Predicted Hysteresis (C),Predicted Enthalpy (J/g),predicted_transformation_strain,comment
45,25,0,6,19,5,0,,,,,53.04357422,94.92352839,15.65694528,11.68737853,one way transform
36,25,5,11,14,5,4,,,,,45.07554254,65.1364137,17.66265177,12.42415444,one way transform
43,24,5,15,11,1,1,227.71,32.99,23.19,11.46870301,176.6635693,52.81712016,22.36806952,11.26495328,
32.2,28.8,6,21,0,12,0,270.19,50.89,25.647,10.84076978,257.0534207,54.93117247,24.31517785,11.33249189,
39.2,22.8,0,19,8,6,5,116.82,66.85,16.501,11.60011821,131.4669089,73.31088144,17.84731855,11.81101164,
43,23,6,19,8,1,0,,,,,213.8101221,57.09779812,21.67964307,10.94587078,no transformation
41,25,6,18,7,0,3,185.19,34.28,22.3555,11.34933635,188.270223,42.40070155,22.33323951,11.68737853,
38,24,5,20,6,2,5,181.51,26.59,21.1925,11.12420889,183.9949978,39.82367873,21.59707433,11.68737853,
45,23,0,8,19,5,0,,,,,75.73471856,93.36584772,16.92995954,10.94587078,no transformation
36,24,5,19,7,6,3,68.23,38.74,11.74,12.04663649,58.0519685,57.40450109,11.74151674,12.42415444,
36,23,5,19,8,7,2,-69.95,74.26,1.8795,,28.3915116,66.55583284,5.184270265,11.68737853,"Ms temperature too low, don’t have XRD to calculate transformation strain"
35,24,5,19,7,7,3,-73.28,60.8,3.1065,,21.77807244,59.70098702,7.187297396,12.42415444,"Ms temperature too low, don’t have XRD to calculate transformation strain"
39,24,5,18,8,1,5,174.18,27.73,20.765,12.02429597,178.158921,41.75801085,21.46874571,11.81101164,
43,23,5,18,9,2,0,295.24,112.65,28.204,10.88115534,208.8912407,69.80078318,24.90832486,10.94587078,
46,26,0,17,7,0,4,250.53,20.61,27.9485,12.98151671,266.8587472,37.90707089,28.06393631,12.42415444,
46,26,0,13,11,4,0,102.53,123.2,15.798,12.30366397,105.6773022,96.76020638,16.76246616,12.36509588,
35,22,5,20,8,7,3,108.12,50.51,13.187,13.07545164,79.56509456,69.56395039,12.05751595,11.70590656,
39,25,7,25,0,3,1,215.59,39.32,21.965,10.83877648,214.9023147,40.79282645,22.6144184,12.36509588,
36,23,5,21,6,4,5,201.88,25.37,21.9855,11.83705747,161.4101557,46.66386401,21.99481853,11.81101164,
40,23,5,22,5,0,5,262.51,30.96,26.01,11.73798458,264.6127535,35.59071228,26.03257997,11.26495328,
40,25,8,25,0,0,2,205.62,39.99,22.334,12.8285859,228.9174546,41.46513483,22.28256704,11.46030734,
21.8,25.2,0,24,0,25,4,,,,,154.4807282,62.83001722,19.47557662,11.3880895,no transformation
37,25,0,25,0,9,4,11.35,76.86,7.41285,,30.33983632,70.05908077,9.312168578,11.91676098,"Ms temperature too low, don’t have XRD to calculate transformation strain"
42,25,0,25,0,6,2,206.7,48.87,22.087,11.28954567,207.2153015,69.25862353,22.25059476,11.35471999,
43,26,5,24,0,2,0,248.75,38.89,26.041,12.38976946,228.9929426,44.72519079,26.31462593,11.35471999,
49,25,0,20,5,1,0,349.02,48.73,32.2875,12.17589076,326.6115382,55.3367423,29.93013397,11.68737853,
34,20,5,25,5,9,2,,,,,109.4620295,89.91628834,13.27375686,10.94587078,one way transform
38,25,7,25,0,5,0,146.01,45.04,17.267,11.47938144,145.0929147,48.4539522,15.92270564,11.35471999,
43,25,5,25,0,1,1,299.66,46.07,29.752,11.1574665,293.3194011,48.07124295,29.35362258,11.46030734,
